the_geom,Asset_ID,GI_ID,DEP_Contra,DEP_Cont_1,Row_Onsite,Project_Na,Asset_Type,Status,Asset_X_Co,Asset_Y_Co,Borough,Sewer_Type,Outfall,NYC_Waters,BBL,Secondary_,Community_,City_Counc,Assembly_D,Asset_Leng,Asset_Widt,Asset_Area,GI_Feature,Tree_Latin,Tree_Commo,Constructi,Construc_1,Program_Ar,Status_Gro
POINT (-73.77342778267128 40.74480293973841),102650,1049C,GQTI10-02,2,ROW,DDC TI-010 Phase 2,ROWB,Constructed (Full Maintenance),1047031.842,210709.6242,Queens,Combined,TI-010,Flushing Creek,4074530030,0,411,20,25,14,4,56,Standard,No Tree,N/A,GCTI10-02,Package-2,Right of Way (ROW),Constructed
POINT (-73.79684435308155 40.755748833928095),107035,1665a,GQTI10-01,1,ROW,DDC TI-010 Phase 1,ROWB,Constructed (Full Maintenance),1040534.01,214681.64,Queens,Combined,TI-010,Flushing Creek,4054490031,0,407,20,26,20,4,80,Type C - SW Chamber,No Tree,N/A,GCTI10-1A,Package-1,Right of Way (ROW),Constructed
POINT (-73.88683576884452 40.84501220553166),111763,408A,GXHP04-04,1,ROW,EDC HP-004,ROWRG,Constructed (Full Maintenance),1015560.01,247158.37,Bronx,Combined,HP-004,Bronx River,2031070016,0,206,15,79,18,4.5,81,,No Tree,N/A,GXHP02-02_GXHP04-04,1,Right of Way (ROW),Constructed
POINT (-73.81302277515667 40.67417094527605),121212,2152c,GQJA03-03,3,ROW,DDC JAM-003 Phase 3,ROWB,Constructed (Full Maintenance),1036115.2467,184950.4148,Queens,Combined,JAM-003a,Jamaica Bay and Tributaries,4117460063,4117460064,410,28,31,11,5,55,Standard,Other (See notes),N/A,GCJA03-3B,2,Right of Way (ROW),Constructed
POINT (-73.94021352066491 40.67193438379477),127685,1-81d,GKNC14-05,1,ROW,DDC NCB-014,ROWB,Constructed (Full Maintenance),1000834.6221,184085.878,Brooklyn,Combined,NCB-014,East River / Open Waters,3012510123,3012510023,308,35,43,10,5,50,Standard,Acer rubrum,Red Maple,GNCB14-1A,Package-2,Right of Way (ROW),Constructed
POINT (-73.85953663419181 40.87704361028232),132238,421A,GXHP14-01,1,ROW,EDC HP-014 Phase 1,ROWRG,Constructed (Full Maintenance),1023094.35,258839.57,Bronx,Combined,HP-014,Westchester Creek,2046830041,0,212,12,83,15,4,60,,No Tree,N/A,GXHP14-01,Stage-1,Right of Way (ROW),Constructed
POINT (-73.83307733475434 40.764083839496095),142737,1234G,GQTI11-03,1,ROW,DDC TI-011,ROWB,Constructed (Full Maintenance),1030489.936,217697.145,Queens,Combined,TI-011,Flushing Creek,4049580010,0,407,20,40,10,5,50,Standard,No Tree,N/A,GCTI11-02,3,Right of Way (ROW),Constructed
POINT (-73.89114582642769 40.73060807866716),158339,136A,GQBB05-02,2,ROW,OGI BB-005 (GI-DCM-TOC) Phase 2,ROWB,Constructed (Full Maintenance),1014419.31,205475.54,Queens,Combined,BB-005,East River / Open Waters,4024840097,0,405,30,30,10,5,50,Standard,No Tree,N/A,BB05-01-A,1,Right of Way (ROW),Constructed
POINT (-73.9113266508625 40.66587748611473),165268,04SRa,GK26W3-03-OS4,1,Onsite,I.S. 323 K,Subsurface Storage,Constructed,1008850,181885.97,Brooklyn,Combined,26W-003,Jamaica Bay and Tributaries,3035420001,0,316,41,55,31,31.92,989.42,,,,,,Public Onsite,Constructed
POINT (-73.95627547732107 40.815316694424574),170934,PGRI-25GR,GM-PGR-25,1,Onsite,Sheltering Arms Poolhouse,Green Roof,Constructed,996353,236322,Manhattan,Combined,NR-043,East River / Open Waters,1019830006,0,109,7,70,0,0,"5,132",,,,,,Public Onsite,Constructed
POINT (-73.9792452334934 40.698827928061014),171096,AD_2,GK-G-ADRO,GR,Onsite,Admiral's Row,Green Roof,Constructed,990005,193879,Brooklyn,Combined,NCB-014,East River / Open Waters,3020230001,0,302,33,52,0,0,"5,443.5",,,,,,Incentivized,Constructed
POINT (-74.12902871824252 40.6338475303273),171378,LP-1,BEPA_CPI_14,1,Onsite,Levy Playground,Rain Garden,Constructed,948437.32244,170230.49938,Staten Island,MS4,1,East River / Open Waters,5001940001,0,501,49,61,0,0,"1,438",,,,,,Public Onsite,Constructed
POINT (-73.9090930305928 40.6380949335728),174154,GS3037C,GKCI05-03,3,ROW,EDC CI005 Phase 3,ROWGS,In Construction,1009480.1612,171764.6592,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3080220045,0,318,46,59,13,3,39,,No Tree,N/A,GKCI05-3A,1,Right of Way (ROW),In Construction
POINT (-73.92166430575288 40.6508093608416),176789,5031a,GKCI05-02,2,ROW,EDC CI005 Phase 2,ROWB,Constructed (In Guarantee),1005987.01,176393.5,Brooklyn,Combined,CI-005,Jamaica Bay and Tributaries,3047060001,3047070006,317,42,58,10,4.5,45,Standard,No Tree,N/A,GKCI05-2A,3,Right of Way (ROW),Constructed
